ID,bb_area_95,bb_area_95_overlap
ID1_2015/06,4758.755094,661.5312045
ID1_2015/07,5281.559733,922.8855905
ID1_2015/08,2285.718792,359.0186163
ID1_2015/09,2353.256513,439.0387692
ID1_2015/10,5423.543297,651.6315116
ID1_2015/11,2774.566007,482.5559377
ID1_2015/12,3800.541494,346.002925
ID1_2016/01,4727.073568,267.6821642
ID1_2016/02,9979.645496,600.7590343
ID1_2016/03,5792.484687,1218.359046
ID1_2016/04,7861.193067,988.8991971
ID1_2016/05,2818.980413,708.1053604
ID1_2016/06,1363.590131,152.4024956
ID1_2016/07,5135.60247,522.192913
ID1_2016/08,2906.684263,1240.019494
ID1_2016/09,7180.175349,2424.026672
ID1_2016/10,2985.217686,1532.416132
ID1_2016/11,3954.467928,1222.212002
ID2_2015/06,7253.695508,5853.620198
ID2_2015/07,11980.42266,10940.86
ID2_2015/08,8983.129707,8958.446094
ID2_2015/09,9020.049926,8972.854732
ID2_2015/10,11246.77959,2998.545165
ID2_2015/11,33971.38132,20158.55069
ID2_2015/12,6068.754078,630.6568094
ID2_2016/01,8718.651295,685.206337
ID2_2016/02,10876.89184,3138.715018
ID2_2016/03,13733.18225,8603.449931
ID2_2016/04,10388.84681,9263.114841
ID2_2016/05,18342.29989,16188.26088
ID2_2016/06,8223.753268,7893.040342
ID2_2016/07,4948.655445,4848.699152
ID2_2016/08,22775.61071,14161.26986
ID2_2016/09,9395.808845,9354.953746
ID2_2016/10,11747.07491,5709.03055
ID2_2016/11,9862.930098,4880.1975
